Date,Description,Raw Match
2025-05-08,"4 th   Regular   Meeting   –",""
2025-05-08,"Special   Meeting (Examinations)   –",""
2025-05-29,"9.   UDSM   RESEARCH   WEEK   EVENTS  a)   The   9 th   UDSM   Research   Week   at   Unit   Level   –   MJKN M C   and   DUCE  Begins:   –",""
2025-06-18,"4 th   Regular   Meeting   –",""
2025-06-29,"p)   MUCE   COD  1 st   Regular   Meeting   –",""
2025-06-29,"4.   MANAGEMENT   COMMITTEES  a)   Committee of Deans (CoD)  1 st   Regular Meeting   –",""
2025-07-07,"5 th   Regular   Meeting   –",""
2025-07-09,"e)   UDSM Publication Committee  1 st   Regular   Meeting   –",""
2025-07-13,"5 th   Regular   Meeting   –",""
2025-07-15,"5 th   Regular   Meeting   –",""
2025-07-17,"5 th   Regular   Meeting   –",""
2025-07-20,"Ends:   –",""
2025-07-20,"Ends :   –",""
2025-07-20,"5 th   Regular   Meeting   –",""
2025-07-22,"5 th   Regular   Meeting   –",""
2025-07-30,"5 th   Regular Meeting   –",""
2025-08-02,"Special College/School/  Institute Boards   (Supp/Special  Exams)  –",""
2025-08-11,"ii)   Marine Sciences, Aquatic Sciences and Fisheries Technology Cluster   -  MAST  1 st   Regular Meeting   –",""
2025-08-17,"Complete Working:   –",""
2025-08-25,"iii)   ICT and Media  1 st   Regular Meeting   –",""
2025-08-28,"ii .   Independent Internal Examiners (IIEs)   –   MCHAS (Basic Sciences)  Start Working:   –",""
2025-08-28,"Special Meeting (Admission)   –",""
2025-09-02,"i x.   Special College Board for  MCHAS  –",""
2025-09-11,"D:   TEACHING   PRACTICE  Begins :   –",""
2025-09-11,"7  E:   FIRST   SITTING   EXAMINATIONS   PROCESSING   (202 4 /202 5 )  i.   Independent Internal Examiners   ( IIEs )   –   e xcept for MCHAS  Start Working:   –",""
2025-09-22,"5 th   Regular   Meeting   –",""
2025-10-02,"viii.   SENATE (Appeals and  Examinations Irregularities)  -   except for MCHAS  –",""
2025-10-06,"q)   MUCE Student Affairs Committee  1 st   Regular   Meeting   –",""
2025-10-07,"r)   MUCE ESTATE COMMITTEE  1 st   Regular   Meeting   –",""
2025-10-12,"t)   MUCE   -   AUDIT COMMITTEE  1 st   Regular   Meeting   –",""
2025-10-15,"s)   MUCE   -   CAC  1 st   Regular   Meeting   –",""
2025-10-19,"ii.   (Special Exam iners Board )  –   MCHAS  –",""
2025-10-19,"u)   MUCE   -   APPOINTMENT COMMITTEE  1 st   Regular   Meeting   –",""
2025-10-19,"Special Meeting  (Supp/Special   Examinations  202 4 / 202 5 )   -   e xcept for  MCHAS   -   MORNING  –",""
2025-10-21,"3.   SENATE   AND   ITS   COMMITTEES  a)   SENATE  Special Meeting  (202 3 /202 4 )  Supp/Special Exams,  Appeals and   Examinations  Irregularities   –   e xcept for  MCHAS  –",""
2025-11-03,"b )   Consultancy,   Outreach   and   Public Service   Advisory   (COPSA)   Board  1 st   Regular Meeting   –",""
2025-12-04,"f)   University   of   Dar   es   Salaam   School   of   Law   (UDSoL)  Regular Meeting   –",""
2025-12-15,"c)   PFIC  1 st   Regular   Meeting   –",""
